dataset,protocol,model_name,target_batch,n_train,n_val,n_test,split_type,notes
uci224,A_cold_batch_transfer,routear_logratio_svm,9,356,89,470,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,routear_logratio_svm,10,356,89,3600,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,2,356,89,1244,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,3,356,89,1586,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,4,356,89,161,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,5,356,89,197,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,6,356,89,2300,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,7,356,89,3613,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,8,356,89,294,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,9,356,89,470,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci224,A_cold_batch_transfer,coral_svm,10,356,89,3600,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
